name,moneyMin,moneyMax,age,sex,season,topic1,topic2,topic3,topic4,topic5
スマホケース,300,5000,0,1,3,0,1,0,0,0
スマホケース,300,5000,0,0,2,0,1,0,0,0
スマホケース,300,5000,1,1,3,0,1,0,0,0
スマホケース,300,5000,1,0,3,0,1,0,0,0
財布,1000,50000,1,0,0,0,1,0,0,0
財布,1000,50000,1,1,0,0,1,0,0,0
財布,1000,50000,2,0,0,0,1,0,0,0
財布,1000,50000,2,1,0,0,1,0,0,0
観葉植物,3000,20000,3,0,0,1,0,0,0,0
観葉植物,3000,20000,4,1,0,1,0,0,0,0
観葉植物,3000,20000,5,1,0,1,0,0,0,0
韓国のり,100,800,0,1,2,0,0,1,0,0
韓国のり,100,800,0,1,3,0,0,1,0,0
韓国のり,100,800,0,1,1,0,0,1,0,0
スパイスセット,500,3000,3,1,0,0,0,1,0,0
スパイスセット,500,3000,2,1,0,0,0,1,0,0
スパイスセット,500,3000,4,1,0,0,0,1,0,0
マグカップ,500,5000,1,1,3,0,1,0,0,0
マグカップ,500,5000,0,1,3,0,1,0,0,0
マグカップ,500,5000,1,1,3,0,1,0,0,0
マグカップ,500,5000,0,1,3,0,1,0,0,0
ハンドウォーマー,1000,4000,1,1,3,1,1,0,0,0
ハンドウォーマー,1000,4000,2,1,3,1,1,0,0,0
枕・寝具,2000,7000,2,0,3,0,1,0,0,0
枕・寝具,2000,7000,1,0,3,0,1,0,0,0
ぬいぐるみ,300,10000,0,1,1,0,0,0,0,1
ぬいぐるみ,300,10000,0,1,2,0,0,0,0,1
水筒,600,15000,1,0,1,0,1,0,1,0
水筒,600,15000,2,0,1,0,1,0,1,0
傘,1000,5000,3,0,1,1,1,0,0,0
エアガン,2000,200000,1,0,1,0,0,0,1,0
ホットサンドメーカー,1000,6000,1,1,0,0,1,0,0,0
ホットサンドメーカー,1000,6000,2,1,2,0,1,0,0,0
ハンカチ・タオル,300,10000,1,1,0,0,1,0,0,0
ハンカチ・タオル,300,10000,0,1,0,0,1,0,0,0
ハンカチ・タオル,300,10000,2,1,0,0,1,0,0,0
ハンカチ・タオル,300,10000,3,1,0,0,1,0,0,0
マンガ,100,1000,0,0,2,0,0,0,0,1
プラモデル,1000,10000,3,0,0,0,0,0,0,1
プラモデル,1000,10000,0,0,1,0,0,0,0,1
プラモデル,1000,10000,3,0,2,0,0,0,0,1
水着,2000,15000,0,1,1,1,0,0,1,0
ゲームソフト,1000,8000,0,0,3,0,0,0,0,1
ゲームソフト,1000,8000,0,0,0,0,0,0,0,1
ゲームソフト,1000,8000,0,0,1,0,0,0,0,1
香水,3000,15000,1,1,1,1,0,0,0,0
マフラー,2000,10000,1,1,3,1,0,0,0,0
マフラー,2000,10000,1,0,3,1,0,0,0,0
マフラー,2000,10000,1,2,3,1,0,0,0,0
ネックレス,1000,1300000,1,2,1,0,0,0,0,0
ネックレス,1000,1300000,1,1,1,0,0,0,0,0
ネックレス,1000,1300000,1,0,1,0,0,0,0,0
スキンケアセット,2000,12000,1,1,0,1,0,0,0,0
スキンケアセット,2000,12000,0,1,0,1,0,0,0,0
スキンケアセット,2000,12000,0,1,1,1,0,0,0,0
スキンケアセット,2000,12000,0,1,2,1,0,0,0,0
スキンケアセット,2000,12000,2,1,0,1,0,0,0,0
スキンケアセット,2000,12000,2,1,1,1,0,0,0,0
スキンケアセット,2000,12000,2,1,2,1,0,0,0,0
化粧品・コスメセット,2000,12000,0,1,1,1,0,0,0,0
化粧品・コスメセット,2000,12000,1,1,1,1,0,0,0,0
化粧品・コスメセット,2000,12000,2,1,0,1,0,0,0,0
化粧品・コスメセット,2000,12000,3,1,3,1,0,0,0,0
化粧品・コスメセット,2000,12000,4,1,2,1,0,0,0,0
フィギュア,3000,30000,0,0,0,0,0,0,0,1
フィギュア,3000,30000,0,0,1,0,0,0,0,1
フィギュア,3000,30000,0,0,2,0,0,0,0,1
フィギュア,3000,30000,0,0,3,0,0,0,0,1
フィギュア,3000,30000,0,1,0,0,0,0,0,1
フィギュア,3000,30000,0,1,1,0,0,0,0,1
スマートバンド,4000,20000,0,0,1,0,1,0,0,0
スマートバンド,4000,20000,0,0,0,0,1,0,0,0
スマートバンド,4000,20000,0,0,2,0,1,0,0,0
スマートバンド,4000,20000,0,0,3,0,1,0,0,0
ケーキ,200,6000,0,0,3,0,0,1,0,0
ケーキ,200,6000,0,1,3,0,0,1,0,0
ケーキ,200,6000,1,0,3,0,0,1,0,0
ケーキ,200,6000,1,1,3,0,0,1,0,0
ケーキ,200,6000,2,1,3,0,0,1,0,0
ケーキ,200,6000,2,0,3,0,0,1,0,0
ケーキ,200,6000,3,1,3,0,0,1,0,0
ケーキ,200,6000,3,0,3,0,0,1,0,0
ケーキ,200,6000,4,1,3,0,0,1,0,0
ケーキ,200,6000,4,0,3,0,0,1,0,0
ケーキ,200,6000,5,1,3,0,0,1,0,0
ケーキ,200,6000,5,0,3,0,0,1,0,0
イヤホン,1000,3000,0,0,0,0,1,0,0,1
イヤホン,1000,3000,0,1,0,0,1,0,0,1
イヤホン,1000,3000,1,0,0,0,1,0,0,1
イヤホン,1000,3000,1,1,0,0,1,0,0,1
ヘッドホン,1000,3000,0,0,0,0,1,0,0,1
ヘッドホン,1000,3000,0,1,0,0,1,0,0,1
ヘッドホン,1000,3000,1,0,0,0,1,0,0,1
ヘッドホン,1000,3000,1,1,0,0,1,0,0,1
チョコレート,500,4000,0,0,0,0,0,1,0,0
チョコレート,500,4000,0,1,0,0,0,1,0,0
チョコレート,500,4000,1,0,0,0,0,1,0,0
チョコレート,500,4000,1,1,0,0,0,1,0,0
チョコレート,500,4000,2,0,0,0,0,1,0,0
チョコレート,500,4000,2,1,0,0,0,1,0,0
チョコレート,500,4000,3,0,0,0,0,1,0,0
チョコレート,500,4000,3,1,0,0,0,1,0,0
まんじゅう,500,4000,4,0,0,0,0,1,0,0
まんじゅう,500,4000,4,1,0,0,0,1,0,0
まんじゅう,500,4000,5,0,0,0,0,1,0,0
まんじゅう,500,4000,5,1,0,0,0,1,0,0
化石,100,50000,0,0,0,0,0,0,0,1
化石,100,50000,0,0,1,0,0,0,0,1




